id,assetCode,name,productType,introduce,picture,ctId,ctName,shelfTime,price,tags,tagsStr,sceneCode,sceneName,create_time,priceRegList,industryZone,dataType,industryCode,industryStr,siteCode,siteStr,productTypeDesc,priceDesc,updateFrequency,startTime,endTime,sourceText,picture_url
2006225050103570432,0041010503PI101751,郑州市企业法人国籍核验查询数据元件,dataApi,"该产品基于郑州市企业数据开发形成，金融机构得到用户授权后可以通过统一社会信用代码查询企业法人国籍核验情况。赋能反洗钱、信贷审核等场景，防范金融风险。API接口设计简洁高效，支持快速数据查询与返回，确保金融机构在业务办理过程中能够及时获取所需企业信息，提升业务处理效率和准确性。
",exchange-data-api/中电郑州LOGO.png,1889154962357940225,中电（郑州）数据产业有限公司,2026-01-07 11:23:10,1.0,01,企业信息,,金融,,[],,,03,金融,110,数据元件,,/次,MONTH,2005-01-01,,授权采集,https://market.zzbdex.com/exchange-data-api/中电郑州LOGO.png
1819200194877235200,0041010599PS100609,钢材历史价格分析数据集,dataSet,缔开公司通过产业链各个环节，将钢材历史价格进行分析，形成数据集。深度挖掘钢材价格波动背后的数据逻辑，直观反映市场变化，提供全面、准确的价格信息，更好地了解钢材市场动态，把握商机。该数据集具有全面性、准确性、实时性、便捷性、专业性的特点。,exchange-data-file/dc76b6e864509b685f4dcdbeb6c2d912.png,1782687583848030209,河南缔开数字科技有限公司,2025-12-29 09:54:54,12000.0,"34,69","数据挖掘,房屋建筑",,"住建,交通,制造",,,,,99,其他,00,河南省,,,WEEK,2022-01-01,,经营生产,https://market.zzbdex.com/exchange-data-file/dc76b6e864509b685f4dcdbeb6c2d912.png
1993579221837615104,0033010803PI100899,行业风险评估报告,dataApi,适用于法人企业及个体工商户，基于用户身份信息识别其行业风险特征，通过结构化策略输出行业风险码，量化企业风险，为企业级的风险决策提供精准数据支持。,,1985176563146186753,浙江孚临科技有限公司,2025-12-02 15:16:25,0.13,01,企业信息,,金融,,[],,,03,金融,00,河南省,,/次,DAY,2020-11-01,,交易取得,
1970677064104824832,0041020220PS100498,医学学科类带图试题集,dataSet,"（1）原图题主要为工科和文科类：题干含图，答案不含图；
（2）覆盖基础医学、临床医学、预防医学等核心领域；
（3）适配医学知识强化、能力测评及学术基础夯实需求；
（4）提供系统化医学训练资源；
（5）题型规范、学科分类清晰；",exchange-data-file/医学试题集.jpg,1686955527386587138,中算（河南）数字科技有限公司,2025-11-30 19:39:08,150000.0,"34,80","数据挖掘,教育",,"教育,医疗",,,,,20,教育,20,人工智能,,,MONTH,2025-08-01,,授权采集,https://market.zzbdex.com/exchange-data-file/医学试题集.jpg
1988181153481814016,0041010410PS100803,金域医学侵袭性真菌感染送检情况及阳性率分析报告  ,dataSet,基于患者授权医院委托第三方机构进行检测及可使用匿名化检测数据，金域实验室进行呼吸道病原体相关检测项目，包括多种病原体微生物靶向测序、病原微生物宏基因组DNA检测、特定种类真菌的核酸定性检测、特定种类真菌的抗体检测、真菌细胞壁半乳甘露聚糖试验等，在取得数据后金域实验室将匿名化数据授权给金域集团，经过金域集团进行数据清洗、统计分析获得的特定种类真菌感染送检情况及阳性率分析报告。为政府和相关医疗机构进行公共卫生监控、制定防控政策和精准治疗提供数据支撑，为药企的研发策略制定提供数据参考。,exchange-data-file/LOGO.png,1942874315963916289,郑州金域临床检验中心有限公司,2025-11-17 10:04:55,50000.0,34,数据挖掘,,医疗,,,,,10,医疗,00,河南省,,,MONTH,2016-12-28,,"生产经营,授权采集",https://market.zzbdex.com/exchange-data-file/LOGO.png
1980933086647021568,0091000018PA100612,君友智达-自动化报告生成,dataApp,"君友智达-自动化报告生成是一种利用人工智能（AI）、自然语言处理（NLP）、数据可视化和自动化技术，将原始数据自动转化为结构清晰、内容准确、语言流畅的报告文档的技术解决方案。其核心目标是提升报告生成效率、降低人工成本、减少人为错误，并支持数据驱动的决策。
特点：10分钟内生成、专业统计图表、万字长文、数据可追溯、场景贴合性强、支持《党政机关公文格式（GBT9704-2012）》在内多种格式规范",exchange-data-app/报告生成.png,1649276556285231105,河南君友数字科技有限公司,2025-10-27 09:27:07,300000.0,"30,31,32,33,34","AI智能,数据工具,数据可视化,数据治理,数据挖掘",,"三农,制造,金融,住建,交通,文旅,时空,政务,零售,医疗,通信,能源,环保,信用,企服,综合,教育",,,,,18,企服,00,河南省,,,MONTH,2025-01-01,,"生产经营,公开采集",https://market.zzbdex.com/exchange-data-app/报告生成.png
1968140348742524928,0011010588PS100479,标准地址产品（12级）,dataSet,标准地址是把地址拆分为12个字段，分别是省、市、区县、乡/镇/街道、社区/行政村、街/路/巷、门牌、小区/自然村、楼栋、单元、层、户。例：一条标准地址：河南省郑州市中原区中原中路123号世纪·豫花11号楼1单元09层901。,exchange-data-file/LOGO1.jpg,1820712115812577281,中科宇图科技股份有限公司,2025-09-18 11:26:31,8000000.0,"05,24,26,27,28","地理空间,城市治理,商业洞察,客群洞察,应急预警",,"住建,交通,政务,通信,环保,能源,医疗,时空,文旅,金融,三农",,,,,88,地理信息,00,河南省,,,MONTH,2021-07-08,,生产经营,https://market.zzbdex.com/exchange-data-file/LOGO1.jpg
1966067943065931776,0041010588PS100461,沿黄生态廊道区域航空摄影数据,dataSet,本数据为通过无人机航空摄影获取的影像数据，数据覆盖沿黄快速路三门峡段约15公里廊道区域。成果影像经过正射纠正与智能拼接，生成高分辨率正射影像成果，可用于空间规划设计、三维建模、可视化平台演示以及生态廊道规划提供底图数据支撑。,,1784758685252378626,河南省地理信息院,2025-09-16 08:57:02,50000.0,05,地理空间,,"交通,文旅,时空,政务",,,,,88,地理信息,00,河南省,,,YEAR,2022-06-09,,生产经营,
1953750530744012801,0041010510PS100321,缺血性脑血管病数据集,dataSet,郑州人民医院依托神经内科2022年至2024年的历史病例，构建“缺血性脑血管病数据集”，包含3年内所有住院患者诊疗全过程的诊疗数据，涉及诊断、手术、医嘱、病历文书、影像、心电图、病理报告、实致室检验结果等数据。,exchange-data-file/logo.png,1953033465675046914,郑州人民医院,2025-09-12 20:40:11,1655000.0,"30,34,99","AI智能,数据挖掘,其他",,医疗,,,,,10,医疗,00,河南省,,,NO,2022-01-01,2024-12-31,生产经营,https://market.zzbdex.com/exchange-data-file/logo.png
1896500797796638720,0041010215PI100042,煤炭行业综合数据智库,dataApi,该煤炭行业知识问答数据资产包包含了国家在煤炭行业的相关法律法规及郑煤集团标准化管理规章制度，依托智能问答引擎和动态知识库，覆盖生产、安全、环保等核心场景。核心功能包括实时解答专业问题、提供标准化流程指引、典型案例库辅助决策及合规风险预警。可助力煤炭企业快速获取精准行业知识，提升员工合规意识与业务效率，降低法律咨询成本，同时为数字化培训、风险防控及运营决策提供数据支撑，推动煤炭行业智能化转型与合规运营。,exchange-data-api/郑煤行业智库.png,1882322607819325442,郑州煤电股份有限公司,2025-03-27 18:03:07,0.2,"30,31,33,34,80","AI智能,数据工具,数据治理,数据挖掘,教育",,"能源,环保,企服,综合,教育,政务",,[],,,15,采矿,18,企服,,起,MONTH,2014-08-01,,"生产经营,其他",https://market.zzbdex.com/exchange-data-api/郑煤行业智库.png
